name,description,instructor,rating,reviews,total_hours,num_of_lectures,difficulty,price,badge
React: 3 Steps to Master React with Redux for Beginners,Learn React with Redux like a Pro! Start from the basics & go all the way to creating your own interactive React webapps,"Dr. Chris Mall • 25,000+ Students Worldwide",4.7,17,5.5 total hours,52,All Levels,149000,-
Angular Core Deep Dive (with FREE E-Book),Updated to Angular 12: Learn Angular Core in Depth - from Beginner to Advanced,Angular University,4.7,904,9 total hours,75,All Levels,149000,-
"The Modern Flexbox, Grid, Sass & Animations Developer Course","Become Legendary in CSS Flexbox, CSS Grid, Sass and Advanced CSS Animations by Building Awesome Real-world WEBSITES",Muslim Helalee,4.7,260,48.5 total hours,174,Intermediate,149000,Bestseller
NestJS Zero to Hero - Modern TypeScript Back-end Development,Develop and deploy enterprise back-end applications following best practices using Node.js and TypeScript,Ariel Weinberger,4.7,6089,9 total hours,136,All Levels,149000,-
React & TypeScript Chrome Extension Development [2021],"Learn Google Chrome Extension development using modern web frameworks. JavaScript, React, TypeScript, Webpack and more!",Jason Xian,4.7,106,9 total hours,83,All Levels,149000,Bestseller
Laravel with Vue.js - Fullstack Web Development (2020),Learn how to combine Laravel PHP Framework & Vue.js to build powerful API and Single Page Application (SPA) from scratch,Eding Muhamad Saprudin,4.7,665,30.5 total hours,227,All Levels,149000,-
Full Stack Web Development Crash Course with PHP in 7 Hours,Crash Course | Step by Step | Learn by Doing and Become a Full Stack Developer & Learn Full Stack Web Development in PHP,ZEESHAN ARSHAD,4.7,31,7 total hours,80,Beginner,149000,-
"Vue - The Complete Guide (w/ Router, Vuex, Composition API)",Vue.js is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,Maximilian Schwarzmüller,4.7,48836,49 total hours,670,All Levels,149000,Bestseller
The Complete Junior to Senior Web Developer Roadmap (2021),Go from Junior Developer to Senior Developer. Learn all the technical skills Senior Web Developers know!,Andrei Neagoie,4.7,6622,36.5 total hours,428,Intermediate,349000,-
React and Typescript: Build a Portfolio Project,Expand your portfolio of projects by building a complex app with the latest web technologies.,Stephen Grider,4.7,1748,29.5 total hours,390,All Levels,149000,-
Build a Cryptocurrency News Site With Ruby on Rails,Pull Crypto News From An API and Build A Website With Ruby on Rails!,John Elder,4.7,46,2.5 total hours,32,Beginner,149000,-
Javascript Tutorial and Projects Course,Learn Javascript by Building Many Interesting Projects,John Smilga,4.7,2009,40 total hours,357,All Levels,149000,-
Gatsby JS & Shopify: Gatsby ecommerce sites [Gatsby 2021],Gatsby e-commerce stack - Use Gatsby JS & Shopify lite to build Gatsby ecommerce stores (with dynamic cart & checkout!),Tom Phillips,4.7,152,6 total hours,62,All Levels,149000,-
Mobile and Web Development with React JS & Native & Angular,"Dive into web and mobile development, become developer with ReactJS, React Native, React Router, Hooks and Angular.",Oak Academy,4.7,18,32.5 total hours,292,All Levels,149000,-
Blog Creation using WordPress,Blogging using WordPress,Mahesh Sanghavi,4.7,16,1.5 total hours,10,Beginner,149000,-
Beginner to Advanced HTML5 and CSS3 (2021),An easy to follow code-along course to master HTML5 & CSS3 and a lot more,James Maxwell,4.7,27,11.5 total hours,102,All Levels,149000,-
The Hybrid Retainer: Escape the Feast & Famine Cycle,Escape the cycle of Feast and Famine with retainers your clients can't resist,Rob Howard,4.7,7,4.5 total hours,9,All Levels,149000,-
Signup And Login System In CodeIgniter 4,Learn how to create/design the registration system in Codeigniter,Shakzee Arain,4.7,5,1.5 total hours,10,All Levels,149000,-
The CSS Flexbox Guide: Build 5 Real Flexible Projects!,Learn CSS Flexbox & Build 5 real world responsvie layouts using CSS3 Flexbox!,Irfan Dayan,4.7,27,5.5 total hours,35,All Levels,149000,-
PHP for Beginners 2021: all PHP code used is fully explained,PHP for Beginners: Learn to Code in PHP. Every line of code explained in detail. A true PHP for Beginners Course 2021,Patrick Morrow,4.7,1080,7.5 total hours,149,Beginner,149000,-
The Complete JavaScript Course 2021: From Zero to Expert!,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",Jonas Schmedtmann,4.7,113478,68.5 total hours,314,All Levels,149000,Bestseller
Node with React: Fullstack Web Development,"Build and deploy fullstack web apps with NodeJS, React, Redux, Express, and MongoDB.",Stephen Grider,4.7,13463,26 total hours,213,All Levels,229000,-
React Js A-Z With Laravel - For Beginner to Advanced Level,Learn React.js for Frontend and Use Laravel for Backend. Become Full Stack Web Developer By Build Complete Project,"easy Learning, Kazi Ariyan",4.7,38,60.5 total hours,343,Beginner,149000,Hot & new
"Gatsby JS, Contentful & Gatsby Cloud (Gatsby JS V3 2021)",Use Gatsby JS to build rapid static sites with Contentful as a headless CMS and deploy your Gatsby site to Gatsby Cloud.,Tom Phillips,4.7,17,3.5 total hours,33,All Levels,149000,-
CSS Floating Layouts,Gain clarity and skill with CSS floats!,Stone River eLearning,4.7,24,2.5 total hours,25,Intermediate,149000,-
Build REST APIs with Django REST Framework and Python,"Learn Basics to Advanced Django REST Framework by building IMDB API Clone (JWT, Token, Throttling, Pagination, Testing)",Shubham Sarda,4.7,95,13 total hours,73,All Levels,149000,Highest rated
Build Laravel Applications fast using blueprint,Make your self more productive and make Laravel components creation very straightforward and clever,Hazem nassar,4.7,18,1 total hour,24,Intermediate,149000,New
Build Data Visualizations with D3.js & Firebase,"Learn how to use D3 (v5) & Firebase (Firestore) to create dynamic SVG data visualizations. Bar charts, pie charts...",The Net Ninja (Shaun Pelling),4.7,1381,10.5 total hours,107,All Levels,149000,Highest rated
React Styled Components Course 2021 (V5),Step by Step Learn Styled-Components,John Smilga,4.7,523,3 total hours,41,All Levels,149000,-
NodeJS - The Complete Web Developer Bootcamp 2021,"Build Real World Web Apps Using Node, Express, PostgreSQL, MongoDB and more...",Mohammad Azam,4.7,133,14.5 total hours,154,All Levels,149000,-
HTML & CSS Tutorial and Projects Course,Web Development for Absolute Beginners.Learn HTML5 and CSS3 from scratch. Build Amazing Real World Projects.,John Smilga,4.7,2374,36 total hours,385,All Levels,149000,-
"JavaScript and Ruby on Rails with React, Angular, and Vue","Make dynamic web apps with Rails and JavaScript, React, Angular, Vue, Yarn, Webpack and Semantic UI as front-end","Mashrur Hossain, Evgeny Rahman",4.7,328,23.5 total hours,302,All Levels,149000,-
"Quasar V1: Cross-Platform Apps (with Vue 2, Vuex & Firebase)","Use Quasar V1, Vue JS 2, Vuex & Firebase to build a Cross Platform App for Web, iOS, Android, Mac & Windows",Danny Connell,4.7,1684,15.5 total hours,260,All Levels,149000,-
Learn Javascript Web App Development -Build A Calculator App,"Javascript for Front End Web Development - Build Your Own Calculator App Using Javascript, HTML5 & CSS in an hour",DigiFisk (Programming is fun),4.7,102,4 total hours,35,All Levels,149000,-
Create a Drag & Drop File Uploader For Websites,Add a nicely designed drag and drop file uploader to any website including your own online learning platform!,Stone River eLearning,4.7,23,2 total hours,12,Intermediate,149000,-
The Complete JavaScript Bootcamp 2021 - Build Real Projects!,"Learn Modern JavaScript by building real-world Projects! JavaScript ES6+, OOP, Async JavaScript, Webpack and much more..",Ghulam Abbas,4.7,42,18 total hours,122,All Levels,149000,-
JavaScript: The Advanced Concepts (2021),Learn modern advanced JavaScript practices and be in the top 10% of JavaScript developers,Andrei Neagoie,4.7,8930,25 total hours,226,All Levels,149000,-
Build & Deploy Website From Scratch With Salesforce LWC OSS,Master LWC OSS with real world example,Salesforce troop,4.7,11,8 total hours,32,Beginner,149000,-
Learning Bootstrap 2 - A Course For Beginners,Learn How To Develop Using Bootstrap. A Comprehensive Guide For Web Developers,Infinite Skills,4.7,9,4 total hours,46,All Levels,149000,-
Building Cryptocurrencies with JavaScript,Complete web app solutions with a major JS development platform (Angular),Stone River eLearning,4.7,9,3 total hours,16,All Levels,149000,-
What is Redux? with Simple Analogy and Coding Practice,Writing Code for Redux Cycle,Tech CodingCamp,4.7,5,1 total hour,8,All Levels,149000,-
Angular Essentials: A Practical Guide,"Angular 10, Angular Animations, Typescript, Docker, Charts with c3.js(part of d3.js), Upload Images, Export CSV",Antonio Papa,4.7,18,3.5 total hours,39,Beginner,149000,-
Kids Coding - Beginner HTML,"Learn the life long, worth while and in demand skill of programming! Your kid could be the next Zuckerberg!",John Bura,4.7,203,1 total hour,19,Beginner,149000,-
"Python for Network Engineers: Netmiko, NAPALM, pyntc, Telnet",Program networks using Python. Learn network automation and programmability with this practical course (Cisco networks),"David Bombal, Experts with David Bombal",4.7,2131,14 total hours,176,Beginner,149000,-
Meteor and React for Realtime Apps,"Master the fundamentals of Meteor and React with this tutorial as you develop secure, dynamic apps",Stephen Grider,4.7,1944,9 total hours,111,All Levels,149000,Bestseller
100 Days of JavaScript,"Sharpen your JavaScript skills by building Amazing projects over the next 100 Days with HTML, CSS and JavaScript.",Ewomazino Akpareva,4.7,47,61 total hours,202,All Levels,149000,-
Server Side Rendering with React and Redux,"Build React, Redux, and React Router apps using Server Side Rendering (SSR), Isomorphic, and Universal JS techniques",Stephen Grider,4.7,3211,8 total hours,95,Intermediate,149000,-
Learn HTML5 and CSS3 and Build a Professional Website,"Begin learning HTML and CSS, the most important skill of programming and build a real world project!",Hira Mariam,4.7,97,4 total hours,25,Beginner,149000,-
The Perfect NGINX Server - CentOS Edition,The Absolute Beginners CentOS Course to Setting Up Multiple Blazingly Fast WordPress Sites Using NGINX,Andrew Eaton,4.7,157,10.5 total hours,101,Beginner,149000,-
JavaScript: Understanding the Weird Parts,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",Anthony Alicea,4.7,42251,11.5 total hours,85,All Levels,149000,-
Learn JavaScript: Full-Stack from Scratch,"Understand the JavaScript language itself, Node.js, MongoDB, The Web Browser and More To Create Meaningful Applications",Brad Schiff,4.7,3788,27.5 total hours,124,All Levels,149000,-
Modern JavaScript for Beginners Learn JavaScript ES6,Learn how to apply JavaScript to make your web content come to life - explore the core foundations of writing code,Laurence Svekis,4.7,109,2.5 total hours,64,Beginner,149000,-
Learn HTML and CSS from scratch,Take the first step in becoming a web developer by learning HTML and CSS and creating your first page template,Victor Simion,4.7,141,1 total hour,17,Beginner,149000,-
Learn Javascript Step By Step By Building Projects,"This course teaches the fundamentals of JavaScript, UI component, tips/tricks and also build a DOM based OO game",Rajesh Pillai,4.7,103,31.5 total hours,133,Beginner,149000,-
SignalR Mastery: Become a Pro in Real-Time Web Development,Lessons from a Microsoft MVP,Kevin Griffin,4.7,155,10 total hours,47,All Levels,149000,Bestseller
Chrome Extension Development: Build 3 Chrome Extensions,Learn the fundamentals of Chrome Extension development by building three interesting projects,Tim Finnigan,4.7,2,1 total hour,6,Beginner,149000,-
Practical Guide to learn MERN Stack - Version-01,"Build fullstack web applications with React.js, Node.js, Express.js & MongoDB (MERN) with this project-focused course.",Haider Malik,4.7,2,6 total hours,69,All Levels,149000,-
Mastering PYTHON WEB File handling,Learn all the concept of file handling covering all the important things with examples,Pranjal Srivastava,4.7,43,1 total hour,9,All Levels,149000,-
HTML and CSS Masterclass,Web development requires these skills. Learn HTML5 and CSS 3 as well as Bootstrap and XHTML!,"Tim Buchalka's Learn Programming Academy, Robert Gioia",4.7,151,10.5 total hours,181,All Levels,149000,-
Demystifying Parallax: Learn to Create Interactive Web Pages,"With JavaScript, HTML & CSS",Rich Armstrong,4.7,61,3 total hours,15,Intermediate,149000,-
Single-Page Application with ASP.NET & jQuery Hands-On,"Learn how to build a single-page application from start to finish with ASP.NET Web API 2, Entity Framework and jQuery.",Patrick God,4.7,564,3.5 total hours,50,Intermediate,149000,Highest rated
Create E-shop with .Net Core MVC (step by step project),Creating ASP .Net Core 3.0 Database Driven Web E-commerce shop using Entity Framework Core,Pavol Almasi,4.7,297,5.5 total hours,75,Beginner,149000,-
Fullstack GoLang React Insanity Volume 2,React Hooks frontend & GoLang REST / WebSockets Backend with new mongo-go-driver,Zach LaCourse,4.7,4,17 total hours,91,All Levels,149000,-
"Build an app with React, Redux and Firestore from scratch","Learn how to build a web app with React, Redux and Firestore from beginning to publishing",Neil Cummings,4.7,1548,23 total hours,224,Beginner,149000,-
